qid,leader,wiki_title,article_length,cult_text,cult_evidence,hagiography_text,hagiography_evidence,birthday_text,birthday_evidence,monuments_text,monuments_evidence,titles_text,titles_evidence
Q11613,Truman,Harry S. Truman,117724,0,,0,,0,,1,"...of Truman's service as commander of its D Battery during World War I. In 1991, Truman was inducted into the Hall of Famous Missourians, and a bronze bust depicting him is on permanent display in the rotunda of the Missouri State Capitol. In 2006, Thomas Daniel, grandson of the Trumans, accepted a star on the Missour... | ...C., on September 29, 2022, as part of the National Statuary Hall Collection. On the 70th anniversary of the Korean War armistice in 2023, South Korea erected a statue of T",1,"...her Robert Dallek, ""His contribution to victory in the cold war without a devastating nuclear conflict elevated him to the stature of a great or near-great president."" The 1992 publication of David McCullough's favorable biography of Truman further cemented the view of Truman as a highly regarded chief executive...."
Q9916,Eisenhower,Dwight D. Eisenhower,99890,0,,1,"...h the press, and he saw value in them as a means of direct communication with the American people. Throughout his presidency, Eisenhower adhered to a political philosophy of dynamic conservatism. He described himself as a ""progressive conservative"" or a ""dynamic conservative"", and used terms such as ""progressive modera...",0,,0,,1,"...ht Eisenhower; October 14, 1890 – March 28, 1969) was the 34th president of the United States, serving from 1953 to 1961. During World War II, he was Supreme Commander of the Allied Expeditionary Force in Europe and achieved the five-star rank as General of the Army. Eisenhower planned and supervised two of the most... | ...ower has neither commanded an army nor led a nation; and yet he remained through his final days the world's most admired and respected man, truly the first citizen of the "
Q9696,Kennedy,John F. Kennedy,99906,0,,1,"...s on his first transatlantic flight. While an upperclassman at Harvard, Kennedy began to take his studies more seriously and developed an interest in political philosophy. He made the dean's list in his junior year. In 1940, Kennedy completed his thesis, ""Appeasement in Munich"", about British negotiations during the Mu...",0,,0,,0,
Q9640,Johnson,Lyndon B. Johnson,93078,0,,1,"...e Aeronautical and Space Committee, and made himself its first chairman. During his tenure as Majority Leader, Johnson did not sign the 1956 Southern Manifesto, and shepherded the Civil Rights Acts of 1957 and 1960 to passage—the first civil rights bills to pass Congress since the Enforcement Acts and the Ci...",1,"...nson Memorial Grove on the Potomac was dedicated in 1976. Johnson was awarded the Presidential Medal of Freedom posthumously in 1980. Texas created a state holiday on August 27 to mark Johnson's birthday, known as Lyndon Baines Johnson Day.   === Major legislation signed ===   === Significant regulatory changes === 1968: FCC creates national emergency...",0,,0,
Q9588,Nixon,Richard Nixon,99879,0,,0,,0,,1,"...l pardon by his successor, Gerald Ford. During nearly 20 years of retirement, Nixon wrote nine books and undertook many foreign trips, rehabilitating his image into that of an elder statesman and leading expert on foreign affairs. On April 18, 1994, he suffered a debilitating stroke, and died four days later...",0,
Q9582,Ford,Gerald Ford,73397,0,,0,,0,,1,"...ked Carter's conduct of the SALT II negotiations and foreign policy in the Middle East and Africa. Many have argued that Ford also wanted to exorcise his image as an ""Accidental President"" and to win a term in his own right. Ford also believed the more conservative Ronald Reagan would be unable to defeat Car...",0,
Q9960,Reagan,Ronald Reagan,67446,0,,0,,0,,0,,0,
Q23505,G.H.W. Bush,George H. W. Bush,72919,0,,0,,0,,1,"...ing below 50% according to a January 1992 Gallup poll. His sudden drop in his favorability was likely due to the early 1990s recession, which shifted his image from ""conquering hero"" to ""politician befuddled by economic matters"". At the elite level, several commentators and political experts lamented the sta...",0,
Q1124,Clinton,Bill Clinton,92982,0,,1,"...torney general of Arkansas from 1977 to 1979 and as the governor of Arkansas from 1979 to 1981, and again from 1983 to 1992. His centrist ""Third Way"" political philosophy became known as Clintonism, which dominated his presidency and the succeeding decades of Democratic Party history. Born and raised in Arkansas, Clint...",0,,1,"...ith no major Southern state remaining, Clinton targeted New York, which had many delegates. He scored a resounding victory in New York City, shedding his image as a regional candidate. Having been transformed into the consensus candidate, he secured the Democratic Party nomination, finishing with a victory i...",0,
Q207,G.W. Bush,George W. Bush,95082,0,,0,,0,,0,,0,
Q128626,St. Laurent,Louis St. Laurent,32521,0,,0,,0,,0,,0,
Q128614,Diefenbaker,John Diefenbaker,77415,0,,0,,0,,0,,1,"...und that Canadians widely supported Kennedy's actions. Diefenbaker was severely criticized in the media.   === Downfall ===  On January 3, 1963, NATO Supreme Commander General Lauris Norstad visited Ottawa, in one of a series of visits to member nations prior to his retirement. At a news conference, Norstad stated t..."
Q128604,Pearson,Lester B. Pearson,30697,0,,0,,0,,0,,1,"...vol. 2: Life of Lester Pearson 1949–1972. Random House Digital, Inc. ISBN 978-0-307-37539-1. Ferguson, Will (1999). Bastards and Boneheads: Canada's Glorious Leaders, Past and Present. Vancouver: Douglas & McIntyre. ISBN 978-1-55054-737-5. OCLC 44883908. Pearson, Lester B; Fry, Michael G (1975). ""Freedom and chan..."
Q8619,Pierre Trudeau,Pierre Trudeau,98390,0,,1,"...overseas, several events took place in Quebec that were precursors to the Quiet Revolution. These included the 1948 release of the anti-establishment manifesto Refus global, the publication of Les insolences du Frère Untel, the 1949 Asbestos Strike, and the 1955 Richard Riot. Artists and intellectuals in Que...",0,,1,"...hich led to widespread speculation in the media that a career in politics was in his future. Pierre Elliot Trudeau was interred in the Trudeau family mausoleum at St-Rémi-de-Napierville Cemetery in Saint-Rémi, Quebec. Per his family's wishes, the burial was private and attended only by immediate family and f...",0,
Q128574,Clark,Joe Clark,40980,0,,0,,0,,0,,0,
Q128568,Turner,John Turner,25171,0,,0,,0,,0,,0,
Q128563,Mulroney,Brian Mulroney,82376,0,,0,,0,,0,,0,
Q128553,Kim Campbell,Kim Campbell,31300,0,,0,,0,,0,,1,"...eader is to raise the level of public understanding of the issues facing us today. A great political leader is not someone who has all the answers. A great leader is someone who understands the questions and can lead the process of finding solutions. Deeming she as a leadership contestant ""did everything wrong""..."
Q3099714,Justin Trudeau,Justin Trudeau,61515,0,,0,,0,,0,,0,
Q317664,Ingraham,Hubert Ingraham,8351,0,,0,,0,,0,,0,
Q11270,Batista,Fulgencio Batista,36433,0,,0,,0,,0,,0,
Q707178,Magloire,Paul Magloire,5891,0,,0,,0,,0,,0,
Q888818,Fignole,Daniel Fignolé,5393,0,,0,,0,,0,,0,
Q605467,Kebreau,Antonio Thrasybule Kebreau,15302,0,,0,,0,,0,,0,
Q470500,Namphy,Henri Namphy,2529,0,,0,,0,,0,,0,
Q470492,Manigat,Leslie Manigat,2544,0,,1,"...: Edwidge Danticat, René Depestre, Jean-Claude Fignolé, Odette Roy Fombrun, Frankétienne, Gary Klang, Dany Laferrière and Josaphat-Robert Large.   == Selected works == Une date littéraire, un événement pédagogique - Essay, Port-au-Prince, 1962 L'Amérique latine au XXe Siècle - History, Université de Paris I Sorbo...",0,,0,,0,
Q382423,Cedras,Raoul Cédras,3367,0,,0,,0,,0,,0,
Q323218,Boniface Alexandre,Boniface Alexandre,1471,0,,0,,0,,0,,0,
Q57512,Martelly,Michel Martelly,18339,0,,0,,0,,0,,0,
Q887593,Filiberto Bonnelly,Rafael Filiberto Bonnelly,4762,0,,0,,0,,0,,0,
Q3187589,Bosch,Juan Bosch,312,0,,0,,0,,0,,0,
Q436484,Molina Urena,José Rafael Molina Ureña,490,0,,0,,0,,0,,0,
Q5972763,Majluta Azar,Jacobo Majluta Azar,18009,0,,0,,0,,0,,1,"..., he was also allegedly involved in corruption, although charges were never proven. His real concern, however, was to beat off the challenge of rival caudillos or strongmen within the PRD, and this struggle dominated the rest of his career. &#91; citation needed &#93; After Guzmán's suicide, Majluta hoped t..."
Q562002,Blanco,Salvador Jorge Blanco,5360,0,,0,,0,,0,,0,
Q151944,Fernandez Reyna,Leonel Fernández,13662,0,,0,,0,,0,,0,
Q1240351,Sangster,Donald Sangster,1960,0,,0,,0,,0,,0,
Q982324,Shearer,Hugh Shearer,5420,0,,0,,0,,0,,0,
Q365395,Manley,Michael Manley,16530,0,,0,,0,,0,,0,
Q1338879,Williams,Eric Williams,25985,0,,0,,0,,0,,1,"...Eric Eustace Williams  (25 September 1911 – 29 March 1981) was a Trinidad and Tobago politician. He has been dubbed as the ""Father of the Nation"", having led the then-British Colony of Trinidad and Tobago to majority rule on 28 October 1956, to independence on 31 August 1962, and republic stat..."
Q634551,Robinson,A. N. R. Robinson,6517,0,,0,,0,,0,,0,
Q365206,Manning,Patrick Manning,8660,0,,0,,0,,0,,0,
Q1361644,Barrow,Errol Barrow,15468,0,,0,,0,,0,,1,"...s in the parish of Saint Lucy, he became a WWII aviator, combat veteran, lawyer, politician, gourmet cook and author. He is often referred to as the ""Father of Independence"" in Barbados.   == Early life == Errol Walton Barrow was born on 21 January 1920 in Saint Lucy, Barbados, the fourth of five children born to the Rev..."
Q1371769,St. John,Harold Bernard St. John,2201,0,,0,,0,,0,,0,
Q114622,Sandiford,Lloyd Erskine Sandiford,4120,0,,0,,0,,0,,0,
Q327920,Ruiz Cortines,Adolfo Ruiz Cortines,25301,0,,0,,0,,0,,0,
Q296691,de La Madrid,Miguel de la Madrid,30126,0,,0,,0,,0,,0,
Q315633,Salinas,Carlos Salinas de Gortari,45112,0,,0,,0,,0,,0,
Q298149,Zedillo,Ernesto Zedillo,26400,0,,0,,0,,1,"...ing an end to 71 years of uninterrupted PRI rule. Zedillo's admission of the PRI's defeat and his peaceful handing of power to his successor improved his image in the final months of his administration, and he left office with an approval rating of 60%. Since the end of his term as president, Zedillo has bee...",0,
Q190572,Vicente Fox Quesada,Vicente Fox,41866,0,,0,,0,,1,"...esident Fox usually wore suits for formal occasions, but opted to wear his signature boots and jeans during his many visits around Mexico. Fox spread his image as one of peace and welcomed many to his own ranch in the state of Guanajuato. When Fox welcomed U.S. President George W. Bush to the ranch, both pre...",0,
Q296741,Enrique Pena Nieto,Enrique Peña Nieto,43762,0,,0,,0,,0,,0,
Q542559,Price,George Cadle Price,6160,0,,0,,0,,0,,1,"...ster after independence that year. He is considered one of the principal architects of Belizean independence. Today he is referred to by many as the ""Father of the Nation"". Price effectively dominated Belizean politics from the early 1960s until his 1996 retirement from party leadership, having been the nation's head o..."
Q951969,Esquivel,Manuel Esquivel,5408,0,,0,,0,,0,,0,
Q335215,Musa,Said Musa,7811,0,,0,,0,,0,,0,
Q216943,Arbenz Guzman,Jacobo Árbenz,51343,0,,1,"...stated that his wife had a great influence on him. It was through her that Árbenz was exposed to Marxism. María had received a copy of The Communist Manifesto at a women's congress and left a copy of it on Jacobo's bedside table when she left for a vacation. Jacobo was ""moved"" by the Manifesto, and he and M...",0,,0,,0,
Q468224,Castillo Armas,Carlos Castillo Armas,34229,0,,1,"...had never articulated any particular philosophy, which had worried his CIA contacts. The closest he came to doing so was the ""Plan de Tegucigalpa"", a manifesto issued on 23 December 1953, that criticized the ""Sovietization of Guatemala"". Castillo Armas had expressed sympathy for justicialismo, the philosophy...",0,,0,,0,
